¿¬µµ,ÆÀ,°æ±â,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,ÃÑ·çÅ¸,Å¸Á¡,µµ·ç,µµ·ç½ÇÆÐ,º¼³Ý,¸ö¿¡ ¸Â´Â °ø,°íÀÇ»ç±¸,»ïÁø,º´»ì,Èñ»ý¹øÆ®,Èñ»ýÇÃ¶óÀÌ
1982,MBC,80,3061,2686,419,757,124,12,65,1100,381,134,60,268,47,20,316,56,32,27
1982,»ï¼º,80,3043,2647,429,705,126,18,57,1038,374,147,42,307,30,2,349,50,36,18
1982,OB,80,3098,2745,399,778,137,23,57,1132,362,106,61,247,41,22,254,35,46,18
1982,ÇØÅÂ,80,2990,2665,374,696,110,14,84,1086,332,155,52,235,41,12,296,59,28,21
1982,·Ôµ¥,80,3062,2628,353,674,112,8,59,979,325,83,53,326,40,8,315,61,41,27
1982,»ï¹Ì,80,2954,2653,302,637,117,20,40,914,272,74,43,221,29,3,369,44,33,17
1983,»ï¼º,100,3847,3383,448,889,143,14,90,1330,421,70,42,314,55,9,427,62,66,27
1983,ÇØÅÂ,100,3734,3340,423,892,130,15,78,1286,388,131,91,294,40,16,382,75,37,23
1983,MBC,100,3715,3273,405,837,145,21,45,1159,367,128,67,281,60,8,368,58,70,30
1983,OB,100,3766,3330,418,863,142,26,50,1207,378,60,45,279,50,11,352,63,89,18
1983,·Ôµ¥,100,3740,3308,370,807,133,18,78,1210,342,76,61,308,39,2,423,71,58,24
1983,»ï¹Ì,100,3738,3317,345,814,113,14,62,1141,315,35,41,282,47,16,404,76,73,18
1984,»ï¼º,100,3756,3298,435,889,147,18,78,1306,413,75,61,313,63,18,422,62,62,18
1984,·Ôµ¥,100,3729,3267,405,840,139,20,71,1232,374,108,65,326,48,17,446,58,56,28
1984,OB,100,3660,3181,382,816,133,18,53,1144,362,111,62,339,43,17,367,66,62,34
1984,ÇØÅÂ,100,3728,3321,369,822,143,10,76,1213,343,87,52,313,33,8,496,87,39,21
1984,MBC,100,3754,3317,375,840,127,35,47,1178,341,99,68,314,40,14,446,62,47,35
1984,»ï¹Ì,100,3773,3319,334,788,134,14,58,1124,301,42,29,332,34,11,473,73,75,12
1985,»ï¼º,110,4250,3644,552,1005,181,22,97,1521,514,116,85,408,61,15,465,74,93,42
1985,ÇØÅÂ,110,4186,3709,483,1009,160,13,99,1492,437,130,77,348,33,5,386,85,60,32
1985,»ï¹Ì/Ã»º¸,110,4165,3648,416,920,158,9,73,1315,376,70,48,378,44,4,457,95,71,22
1985,OB,110,4189,3667,473,954,146,27,67,1355,432,107,76,354,50,19,442,54,87,31
1985,·Ôµ¥,110,4138,3598,426,920,168,19,77,1357,399,79,58,352,47,11,445,78,106,34
1985,MBC,110,4069,3624,345,892,127,19,37,1168,317,129,73,324,39,16,452,65,54,27
1986,»ï¼º,108,4119,3617,475,997,177,22,74,1440,442,110,67,354,48,13,465,76,68,31
1986,ÇØÅÂ,108,4044,3582,474,929,136,18,99,1398,443,120,78,321,39,16,406,82,76,23
1986,MBC,108,4138,3644,434,964,152,29,37,1285,398,116,59,315,55,15,428,65,89,35
1986,ºù±×·¹,108,4004,3453,333,815,122,23,46,1121,313,79,85,420,30,3,494,81,84,17
1986,OB,108,4044,3531,369,880,114,31,38,1170,350,78,69,336,39,13,394,71,104,29
1986,·Ôµ¥,108,4089,3603,373,894,140,28,37,1201,332,89,51,342,24,16,357,81,100,19
1986,Ã»º¸,108,3926,3449,318,755,138,10,66,1111,322,47,52,327,42,10,518,86,86,22
1987,»ï¼º,108,4218,3731,583,1120,164,29,105,1657,548,101,51,380,40,15,448,88,26,40
1987,·Ôµ¥,108,4155,3625,432,970,161,27,40,1305,400,99,50,390,34,20,330,102,86,20
1987,ºù±×·¹,108,4054,3547,410,972,144,22,48,1304,370,79,85,326,53,11,423,84,104,23
1987,ÇØÅÂ,108,4085,3609,393,910,151,12,71,1298,368,90,44,335,44,19,379,96,68,26
1987,OB,108,4010,3548,415,927,123,34,30,1208,391,72,49,342,24,7,369,88,70,25
1987,Ã»º¸,108,4026,3499,401,848,152,14,54,1190,372,127,80,400,27,7,502,79,82,17
1987,MBC,108,4019,3566,388,919,117,38,36,1220,359,91,54,296,43,14,353,80,85,28
1988,ÇØÅÂ,108,4060,3561,503,1009,134,14,112,1507,466,136,58,343,44,11,374,95,77,33
1988,»ï¼º,108,4192,3692,516,1028,148,21,85,1473,486,110,62,381,42,13,493,74,53,24
1988,ºù±×·¹,108,4103,3616,506,961,177,21,73,1399,465,83,51,332,52,7,464,78,70,32
